,Wild countryside,Wild countryside,Countryside agriculture,Countryside agriculture,Gridded residential quarters,Gridded residential quarters,Accessible suburbia,Accessible suburbia,Connected residential neighbourhoods,Connected residential neighbourhoods,Urban buffer,Urban buffer,Open sprawl,Open sprawl,Warehouse/Park land,Warehouse/Park land,Local urbanity,Local urbanity,Dense residential neighbourhoods,Dense residential neighbourhoods,Disconnected suburbia,Disconnected suburbia,Dense urban neighbourhoods,Dense urban neighbourhoods,Regional urbanity,Regional urbanity,Metropolitan urbanity,Metropolitan urbanity,Concentrated urbanity,Concentrated urbanity,Hyper concentrated urbanity,Hyper concentrated urbanity
9,mean inter-building distance (Q2),0.01055936255734469,longest axis length of ETC (Q2),0.020504048367673652,weighted reached enclosures of ETC (Q2),0.016606577953909935,reached ETCs by local street network (Q1),0.02027465744014283,orientation of enclosure (Q1),0.013304591165299745,area covered by node-attached ETCs (Q3),0.027951912066828892,area of ETC (Q2),0.015706759696491473,perimeter of building (Q2),0.014735138078621335,area of building (Q1),0.022768957462667546,area of enclosure (Q1),0.01545404066630703,circular compactness of building (Q2),0.015257470427566736,Workplace population [Other] (Q2),0.016283771555318922,centroid - corner distance deviation of building (Q3),0.020624939459337268,centroid - corner mean distance of building (Q1),0.018957063958443064,Land cover [Non-irrigated arable land] (Q1),0.025911945751508115,NDVI (Q3),0.027405782228009344
10,weighted reached enclosures of ETC (Q1),0.010402649409409572,mean distance between neighbouring buildings (Q2),0.019362220491864014,local meshedness of street network (Q3),0.015356125218602395,covered area ratio of ETC (Q1),0.019827098206817072,perimeter of building (Q3),0.012644453184070129,reached area by neighbouring segments (Q3),0.027505623147229142,reached ETCs by local street network (Q1),0.015431101221786977,mean distance between neighbouring buildings (Q3),0.014433714451882273,Workplace population [Other] (Q3),0.020453588243113063,orientation of ETC (Q3),0.015262622866618322,local proportion of cul-de-sacs of street network (Q1),0.01519964608024015,perimeter of building (Q1),0.015331970109572489,equivalent rectangular index of building (Q1),0.01941002385392652,centroid - corner distance deviation of building (Q3),0.016187090698318914,centroid - corner distance deviation of building (Q1),0.02570945385584792,squareness of building (Q1),0.014529684384576674
11,perimeter-weighted neighbours of ETC (Q2),0.009700924921083856,reached area by tessellation contiguity (Q1),0.01927215216965739,area of enclosure (Q1),0.012316249173796603,equivalent rectangular index of building (Q1),0.01816873561019505,orientation of building (Q2),0.01248849136379042,area covered by edge-attached ETCs (Q3),0.02726188520837018,elongation of building (Q2),0.015238903769836476,mean inter-building distance (Q3),0.014425374889031343,centroid - corner distance deviation of building (Q2),0.018549305946324333,cell alignment of building (Q2),0.015195477223464976,orientation of ETC (Q2),0.01443956298084793,area of building (Q3),0.01379654238636263,squareness of building (Q2),0.015716064482316498,Workplace population [Construction] (Q3),0.015581736691743626,"Workplace population [Distribution, hotels and restaurants] (Q1)",0.024598015293912576,area of building (Q1),0.013609760928217137
12,longest axis length of ETC (Q2),0.00818924507587934,area covered by neighbouring cells (Q2),0.013206913064990852,local proportion of 4-way intersections of street network (Q1),0.010846686958420743,longest axis length of ETC (Q3),0.016776009491196793,circular compactness of building (Q3),0.012353519742465423,reached area by neighbouring segments (Q2),0.020825496625190343,weighted reached enclosures of ETC (Q1),0.01478363966891803,weighted reached enclosures of ETC (Q2),0.014066612232904296,Workplace population [Transport and communication] (Q1),0.018225775519602683,circular compactness of building (Q1),0.015152560917679728,orientation of building (Q2),0.013539455333864716,"Workplace population [Public administration, education and health] (Q3)",0.012504977930154827,"Workplace population [Public administration, education and health] (Q3)",0.014335458516580656,Workplace population [Construction] (Q2),0.014171720491724047,circular compactness of ETC (Q3),0.016897983377077597,Workplace population [Transport and communication] (Q3),0.013273680350293785
13,mean distance between neighbouring buildings (Q3),0.006973659843279442,area covered by edge-attached ETCs (Q2),0.012389237000029687,area covered by edge-attached ETCs (Q2),0.010596251409078153,reached ETCs by tessellation contiguity (Q1),0.01622861771419361,centroid - corner distance deviation of building (Q2),0.011730824970190512,mean distance between neighbouring buildings (Q3),0.018693750663736616,street alignment of building (Q2),0.014710720652117603,Population (Q3),0.012465127436678283,equivalent rectangular index of building (Q2),0.01724596956316677,orientation of ETC (Q2),0.015060058534630546,centroid - corner distance deviation of building (Q2),0.012686698671049828,centroid - corner mean distance of building (Q3),0.01237525119425391,Workplace population [Construction] (Q3),0.013476532774285347,"Workplace population [Financial, real estate, professional and administrative activities] (Q1)",0.01389842000831476,Workplace population [Construction] (Q3),0.016422623415428897,Workplace population [Other] (Q1),0.011892256835404687
14,area covered by neighbouring cells (Q2),0.006800488266748246,perimeter-weighted neighbours of ETC (Q3),0.011643122729822156,cell alignment of building (Q2),0.010558497522230956,buildings per meter of street segment (Q3),0.01579215710284473,area of building (Q2),0.011594599905656684,area of ETC (Q2),0.018495254683617263,cell alignment of building (Q1),0.014520748108425439,weighted reached enclosures of ETC (Q1),0.012139599800353746,corners of building (Q3),0.017241645038607988,orientation of building (Q2),0.012857730993114175,elongation of building (Q1),0.012207174934516776,NDVI (Q1),0.012136739838817204,centroid - corner mean distance of building (Q3),0.013432199084427436,covered area ratio of ETC (Q3),0.012652312449237188,Workplace population [Transport and communication] (Q2),0.012326795827320334,centroid - corner distance deviation of building (Q1),0.009373096691648722
15,buildings per meter of street segment (Q3),0.006649884692422452,buildings per meter of street segment (Q3),0.011209812784785122,local cul-de-sac length of street network (Q3),0.010274424249421902,mean segment length within 3 steps (Q1),0.015165091667389191,Population (Q2),0.011535691056824823,equivalent rectangular index of ETC (Q2),0.01781458276546981,area covered by node-attached ETCs (Q3),0.013696290831223626,width of street profile (Q3),0.011903651300018643,squareness of building (Q2),0.014362573082395849,orientation of building (Q1),0.011346786176099816,reached area by neighbouring segments (Q3),0.012119138243791013,centroid - corner mean distance of building (Q1),0.012109671279083986,equivalent rectangular index of building (Q2),0.0128432799950189,alignment of neighbouring buildings (Q2),0.011697862997331596,covered area ratio of ETC (Q3),0.012227671763662067,buildings per meter of street segment (Q3),0.008223618662836506
16,buildings per meter of street segment (Q1),0.005474578771024432,covered area ratio of ETC (Q3),0.008151203186768527,mean distance to neighbouring nodes of street network (Q1),0.009779883129081453,width deviation of street profile (Q3),0.012685148763242251,centroid - corner mean distance of building (Q3),0.011452250426351002,equivalent rectangular index of ETC (Q1),0.017054701771295318,weighted reached enclosures of ETC (Q2),0.013601907002299152,mean inter-building distance (Q1),0.011492069739279919,"Workplace population [Distribution, hotels and restaurants] (Q3)",0.011388903954466671,local meshedness of street network (Q2),0.011343086791594733,orientation of enclosure (Q1),0.011505797291304524,equivalent rectangular index of building (Q2),0.0116739174332647,corners of building (Q2),0.012012701887286925,Workplace population [Other] (Q3),0.011500279085423946,equivalent rectangular index of building (Q2),0.012203016318681825,area of ETC (Q1),0.008049988014461195
17,weighted reached enclosures of ETC (Q2),0.005412126089025163,longest axis length of ETC (Q1),0.006255219146758464,perimeter-weighted neighbours of ETC (Q3),0.008962910305036983,circular compactness of building (Q1),0.012438347676006534,perimeter-weighted neighbours of enclosure (Q2),0.011444918735417505,local degree weighted node density of street network (Q1),0.015065207178266135,reached ETCs by local street network (Q2),0.013341108957788669,covered area ratio of ETC (Q2),0.011071792478401735,reached ETCs by neighbouring segments (Q3),0.0102690781329655,covered area ratio of ETC (Q3),0.011162981399703967,perimeter-weighted neighbours of ETC (Q1),0.011432566256237044,centroid - corner distance deviation of building (Q2),0.009816931047728466,Workplace population [Other] (Q3),0.011076534550434178,area of ETC (Q1),0.011017608236913069,Workplace population [Construction] (Q2),0.011989882553886829,"Workplace population [Public administration, education and health] (Q2)",0.0076661292723089235
18,reached area by tessellation contiguity (Q2),0.005286616429331479,mean distance to neighbouring nodes of street network (Q1),0.00594039292859287,local meshedness of street network (Q2),0.008677604931400218,centroid - corner mean distance of building (Q2),0.012328054876858304,orientation of building (Q1),0.011172943932738344,Population (Q1),0.014213253873540138,local node density of street network (Q2),0.012381100896560896,Night lights (Q1),0.011024143005688459,area of building (Q3),0.010129323691770348,orientation of ETC (Q1),0.010923445713012925,circular compactness of ETC (Q2),0.011339025486793462,"Workplace population [Financial, real estate, professional and administrative activities] (Q2)",0.009093842841940262,area of building (Q3),0.010343833477596083,NDVI (Q1),0.010971316535775053,"Workplace population [Agriculture, energy and water] (Q3)",0.011988168327429462,Workplace population [Transport and communication] (Q2),0.0060167901410786515
19,equivalent rectangular index of ETC (Q2),0.004751036009829509,reached area by local street network (Q2),0.004740380222150678,longest axis length of ETC (Q1),0.00821782130421121,longest axis length of ETC (Q1),0.011737556080547423,elongation of building (Q3),0.011082632338450634,area of ETC (Q3),0.014095327050516826,cell alignment of building (Q2),0.011926126762755392,perimeter-weighted neighbours of ETC (Q2),0.010915714862842074,"Workplace population [Public administration, education and health] (Q3)",0.0095213506565428,cell alignment of building (Q1),0.010560200088665633,orientation of ETC (Q1),0.011205476676591674,area of building (Q1),0.008926525217570055,NDVI (Q1),0.010130144623983308,squareness of building (Q1),0.010167742601652293,compactness-weighted axis of enclosure (Q1),0.011063341838887396,"Workplace population [Agriculture, energy and water] (Q2)",0.005690670024006604
20,mean distance to neighbouring nodes of street network (Q3),0.0046514153725534515,openness of street profile (Q1),0.004715674065213646,mean distance to neighbouring nodes of street network (Q2),0.007732272474167276,local proportion of cul-de-sacs of street network (Q3),0.01139948800527903,centroid - corner mean distance of building (Q2),0.010234073256756357,Population (Q3),0.013405550657612498,local degree weighted node density of street network (Q1),0.011764628270428318,local proportion of 3-way intersections of street network (Q3),0.010247926909308959,reached ETCs by neighbouring segments (Q2),0.009095907294351311,NDVI (Q1),0.009832322716538885,orientation of ETC (Q3),0.011201861668273933,covered area ratio of ETC (Q3),0.007957256477010762,"Workplace population [Financial, real estate, professional and administrative activities] (Q2)",0.007827732115946532,Workplace population [Transport and communication] (Q2),0.009903344355658745,local proportion of 4-way intersections of street network (Q3),0.010157267920454778,reached area by tessellation contiguity (Q3),0.005438313205782112
21,openness of street profile (Q2),0.004472075266815244,mean inter-building distance (Q1),0.004038338614480998,weighted reached enclosures of ETC (Q1),0.007464508947213437,reached ETCs by neighbouring segments (Q3),0.011153341101024861,local meshedness of street network (Q3),0.01018048760978681,mean distance to neighbouring nodes of street network (Q3),0.01248754750827554,linearity of street segment (Q2),0.011194845177254822,width deviation of street profile (Q3),0.009761675064747377,NDVI (Q1),0.00776391224191972,orientation of building (Q3),0.009508519159917987,Population (Q2),0.011088291407306872,Workplace population [Other] (Q3),0.007915061394064433,"Workplace population [Distribution, hotels and restaurants] (Q3)",0.006517931934833171,squareness of building (Q2),0.009345530822439743,Workplace population [Other] (Q1),0.009860483512016072,local cul-de-sac length of street network (Q2),0.004669304033032364
22,area of ETC (Q1),0.004073658688932895,length of street segment (Q2),0.004023201197920575,reached area by local street network (Q2),0.007189957465729092,area of ETC (Q3),0.01044893680562467,local meshedness of street network (Q2),0.00965014776148747,openness of street profile (Q2),0.010757605291058134,circular compactness of building (Q1),0.010821682194876012,equivalent rectangular index of building (Q1),0.009286321529102998,perimeter of enclosure (Q2),0.007512905049624205,area of enclosure (Q2),0.008398066438669374,local meshedness of street network (Q1),0.011034228296785268,"Workplace population [Distribution, hotels and restaurants] (Q2)",0.007379739256778619,covered area ratio of ETC (Q3),0.0062311979245632376,Workplace population [Other] (Q1),0.00924961132764009,"Workplace population [Financial, real estate, professional and administrative activities] (Q2)",0.00783297201439799,area covered by neighbouring cells (Q2),0.004369553304213449
23,buildings per meter of street segment (Q2),0.004053495572485809,mean distance between neighbouring buildings (Q3),0.00392100916994428,area of ETC (Q1),0.006785890763866259,reached ETCs by local street network (Q3),0.010309244600517428,weighted reached enclosures of ETC (Q3),0.00954394931471282,cell alignment of building (Q1),0.010295122596593795,mean distance to neighbouring nodes of street network (Q3),0.01066257253172774,circular compactness of building (Q3),0.00890540403137402,"Workplace population [Financial, real estate, professional and administrative activities] (Q2)",0.007414391248451298,area covered by node-attached ETCs (Q3),0.008357050491680213,orientation of building (Q3),0.010639198370242617,Night lights (Q3),0.006087684408378566,centroid - corner distance deviation of building (Q1),0.006185342759309799,Workplace population [Manufacturing] (Q2),0.009050521600610852,"Workplace population [Agriculture, energy and water] (Q2)",0.0078117920745350514,Workplace population [Transport and communication] (Q1),0.0032802265793881215
24,Land cover [Pastures] (Q1),0.0037832359251994004,local node density of street network (Q2),0.003700983463617758,Population (Q2),0.006711725921909185,width deviation of street profile (Q2),0.00967209114167226,orientation of enclosure (Q2),0.009374693868795607,longest axis length of ETC (Q2),0.01024200656045993,perimeter of enclosure (Q1),0.010649264567541838,local proportion of 3-way intersections of street network (Q2),0.008628672507884285,centroid - corner mean distance of building (Q1),0.007233063846630678,orientation of enclosure (Q1),0.00785431943155315,circular compactness of building (Q3),0.010578379619832295,corners of building (Q3),0.005818847385627115,reached ETCs by neighbouring segments (Q3),0.0053469671350571376,centroid - corner mean distance of building (Q3),0.008433842402223597,local proportion of 4-way intersections of street network (Q1),0.007296640336377667,"Workplace population [Distribution, hotels and restaurants] (Q1)",0.003165172932482584
25,reached area by tessellation contiguity (Q3),0.002972289568549138,buildings per meter of street segment (Q2),0.0034749888555952444,compactness-weighted axis of enclosure (Q1),0.00650055828379043,street alignment of building (Q2),0.009602658343657434,"Workplace population [Distribution, hotels and restaurants] (Q3)",0.00920117180803422,local degree weighted node density of street network (Q2),0.009630333578701576,street alignment of building (Q3),0.010092739479470446,covered area ratio of ETC (Q3),0.008419297339656231,centroid - corner mean distance of building (Q3),0.006972342704377665,"Workplace population [Financial, real estate, professional and administrative activities] (Q3)",0.0074191399695444915,local cul-de-sac length of street network (Q1),0.0105602049992332,"Workplace population [Distribution, hotels and restaurants] (Q3)",0.005600485499051313,equivalent rectangular index of ETC (Q3),0.005075191827887057,area of building (Q1),0.008343662008107733,Workplace population [Transport and communication] (Q3),0.006259542115836017,reached area by local street network (Q1),0.003163349391346975
26,local cul-de-sac length of street network (Q1),0.0028586895293034238,reached area by local street network (Q1),0.0034592915915936592,local degree weighted node density of street network (Q2),0.005987732241741848,elongation of building (Q1),0.009401336862865046,local proportion of cul-de-sacs of street network (Q3),0.009099293691292821,weighted reached enclosures of ETC (Q2),0.009466032376111624,reached ETCs by neighbouring segments (Q2),0.009981615233095703,perimeter-weighted neighbours of ETC (Q3),0.00826050034418178,Workplace population [Transport and communication] (Q3),0.006956207403270154,centroid - corner distance deviation of building (Q3),0.007351447360880681,centroid - corner mean distance of building (Q3),0.010546314053967382,Population (Q2),0.005552070675199941,Workplace population [Other] (Q2),0.004689404917463756,compactness-weighted axis of enclosure (Q2),0.007992479593629217,local proportion of 3-way intersections of street network (Q3),0.0054442274667154435,area of enclosure (Q1),0.003142429430686653
27,reached area by neighbouring segments (Q3),0.002816620859477352,area covered by edge-attached ETCs (Q1),0.002725577153141301,centroid - corner mean distance of building (Q1),0.005892788070843013,circular compactness of building (Q2),0.007262046368833229,Population (Q3),0.008758976726834324,circular compactness of ETC (Q1),0.0089337823990745,equivalent rectangular index of building (Q1),0.009802362074904803,cell alignment of building (Q1),0.008232376810388726,"Workplace population [Financial, real estate, professional and administrative activities] (Q1)",0.006125859751801112,reached area by tessellation contiguity (Q1),0.00731403002703174,local proportion of cul-de-sacs of street network (Q3),0.010473434734766265,Night lights (Q2),0.005535640128726127,Workplace population [Transport and communication] (Q3),0.004476070256582139,Land cover [Continuous urban fabric] (Q2),0.007157038242539203,Workplace population [Other] (Q3),0.005198596815132499,Listed buildings [counts within 1200m],0.0031237268492023606
28,NDVI (Q3),0.0026757644207268698,area of ETC (Q3),0.0024367767229321884,perimeter-weighted neighbours of enclosure (Q1),0.005784962223039306,cell alignment of building (Q1),0.006780853991809178,orientation of ETC (Q3),0.008581060001254925,area covered by node-attached ETCs (Q2),0.008778219039020973,perimeter of enclosure (Q2),0.008825090233534342,local proportion of 4-way intersections of street network (Q2),0.008128092058550635,elongation of building (Q1),0.0052846603015977,local proportion of 4-way intersections of street network (Q2),0.0072033326980642425,circular compactness of ETC (Q1),0.009141655110689168,"Workplace population [Public administration, education and health] (Q2)",0.00542088767181355,area of ETC (Q3),0.004007732945293908,area of building (Q2),0.006895300665124328,covered area ratio of ETC (Q2),0.005180166889427722,"Workplace population [Financial, real estate, professional and administrative activities] (Q1)",0.002709146491998584
29,Land cover [Pastures] (Q2),0.002654864592456654,mean segment length within 3 steps (Q2),0.0023208243384046463,local proportion of 4-way intersections of street network (Q3),0.005729223353240605,area covered by neighbouring cells (Q2),0.006747603650459387,local meshedness of street network (Q1),0.00833687666866172,weighted reached enclosures of ETC (Q1),0.00793401315742718,mean segment length within 3 steps (Q2),0.008397058414216271,weighted reached enclosures of ETC (Q3),0.00807436127880742,Land cover [Continuous urban fabric] (Q3),0.005273427822410852,local proportion of 4-way intersections of street network (Q3),0.007118337046872194,orientation of building (Q1),0.008918292743293381,weighted reached enclosures of ETC (Q2),0.005322470625203975,Land cover [Continuous urban fabric] (Q2),0.0038808240479281764,"Workplace population [Distribution, hotels and restaurants] (Q3)",0.005789338490088578,centroid - corner mean distance of building (Q1),0.004614965826170661,mean distance between neighbouring buildings (Q3),0.002558146060343185
30,local cul-de-sac length of street network (Q2),0.0024914088144061793,reached area by neighbouring segments (Q2),0.002235655275637864,local proportion of cul-de-sacs of street network (Q2),0.005699853763660501,area of enclosure (Q2),0.0067126303544836705,reached ETCs by neighbouring segments (Q2),0.008127847004600595,centroid - corner mean distance of building (Q3),0.007547495194054854,local proportion of cul-de-sacs of street network (Q3),0.008128392384551092,local proportion of cul-de-sacs of street network (Q2),0.0075693356099224614,Listed buildings [counts within 1200m],0.0050718702041135325,squareness of building (Q1),0.0066981392950078225,local proportion of 4-way intersections of street network (Q2),0.008684456163901094,covered area ratio of ETC (Q2),0.005322275658507396,squareness of building (Q1),0.003556694447634043,centroid - corner distance deviation of building (Q1),0.0056791858950660645,width deviation of street profile (Q1),0.004413116837586943,perimeter-weighted neighbours of ETC (Q3),0.002525670601272039
31,Land cover [Non-irrigated arable land] (Q3),0.00245975644527233,reached area by tessellation contiguity (Q3),0.0021702729552613887,perimeter of enclosure (Q2),0.005697008721848544,local proportion of cul-de-sacs of street network (Q2),0.006668169619109511,orientation of building (Q3),0.007736362158083723,openness of street profile (Q1),0.007524728596193372,local degree weighted node density of street network (Q2),0.008065704137303143,perimeter of enclosure (Q1),0.007541091842294331,Workplace population [Transport and communication] (Q2),0.005036372280623055,local closeness of street network (Q2),0.0063757993075723735,elongation of building (Q3),0.008644207363168557,local closeness of street network (Q3),0.005319044220219666,Workplace population [Transport and communication] (Q2),0.003496972136391114,Workplace population [Other] (Q2),0.005670096580609958,squareness of building (Q1),0.004264637630243904,orientation of ETC (Q2),0.0023558525487716382
32,covered area ratio of ETC (Q3),0.00244001307365182,openness of street profile (Q2),0.0021419389694129092,width of street profile (Q3),0.0056283679988119615,circular compactness of building (Q3),0.006123536998518738,orientation of ETC (Q1),0.007701701302877059,Night lights (Q1),0.007282470855399967,circular compactness of building (Q2),0.007969473933171356,cell alignment of building (Q3),0.0075397693397904805,Workplace population [Other] (Q2),0.004977195946650853,Workplace population [Other] (Q3),0.006115694464441971,orientation of enclosure (Q2),0.00864270713489289,circular compactness of building (Q3),0.005170899047549157,Land cover [Continuous urban fabric] (Q3),0.0034364350670220293,reached ETCs by local street network (Q2),0.005253899972482201,area covered by neighbouring cells (Q3),0.004195449865386154,buildings per meter of street segment (Q2),0.0022732249197393154
